Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
04/04/2010,Londrina,99,83,Saldanha,14,2
04/04/2010,Joinville,73,65,Espírito Santo,14,2
04/04/2010,Brasília,90,83,Flamengo,14,2
07/04/2010,Espírito Santo,64,68,Joinville,0,3
08/04/2010,Araraquara,82,78,São José,0,3
08/04/2010,Assis,70,77,Bauru,0,3
09/04/2010,Joinville,93,74,Espírito Santo,0,3
09/04/2010,Paulistano,93,101,Pinheiros,0,3
10/04/2010,Joinville,71,60,Espírito Santo,0,3
11/04/2010,São José,88,74,Araraquara,0,3
11/04/2010,Bauru,90,68,Assis,0,3
12/04/2010,São José,71,67,Araraquara,0,3
12/04/2010,Bauru,86,81,Assis,0,3
12/04/2010,Pinheiros,94,92,Paulistano,0,3
13/04/2010,Pinheiros,74,73,Paulistano,0,3
16/04/2010,Araraquara,70,82,São José,0,3
20/04/2010,Bauru,96,102,Brasília,0,4
21/04/2010,Pinheiros,76,95,Franca,0,4
21/04/2010,Joinville,72,76,Minas,0,4
23/04/2010,Brasília,118,78,Bauru,0,4
23/04/2010,Minas,87,77,Joinville,0,4
23/04/2010,São José,71,78,Flamengo,0,4
24/04/2010,Franca,84,75,Pinheiros,0,4
24/04/2010,Minas,94,90,Joinville,0,4
24/04/2010,Brasília,111,101,Bauru,0,4
25/04/2010,Franca,73,71,Pinheiros,0,4
25/04/2010,Flamengo,89,70,São José,0,4
26/04/2010,Flamengo,95,91,São José,0,4
04/05/2010,Minas,97,106,Brasília,0,5
04/05/2010,Franca,90,82,Flamengo,0,5
07/05/2010,Brasília,94,103,Minas,0,5
07/05/2010,Flamengo,101,73,Franca,0,5
08/05/2010,Brasília,102,86,Minas,0,5
08/05/2010,Flamengo,80,73,Franca,0,5
11/05/2010,Franca,85,86,Flamengo,0,5
13/05/2010,Minas,78,70,Brasília,0,5
15/05/2010,Brasília,90,77,Minas,0,5
22/05/2010,Flamengo,88,84,Brasília,0,6
28/05/2010,Brasília,93,90,Flamengo,0,6
30/05/2010,Brasília,85,84,Flamengo,0,6
03/06/2010,Flamengo,94,74,Brasília,0,6
06/06/2010,Brasília,76,74,Flamengo,0,6
